date,method,granularity,index_value,confidence
2000-02-02,label_avg,meeting,-0.42857142857142855,0.3706858219876822
2000-02-02,conf_weighted,meeting,-0.13721454617834392,0.3706858219876822
2000-03-21,label_avg,meeting,-0.2857142857142857,0.41201164483075114
2000-03-21,conf_weighted,meeting,-0.09170453978156239,0.41201164483075114
2000-05-16,label_avg,meeting,-0.42857142857142855,0.39453263948995737
2000-05-16,conf_weighted,meeting,-0.17974587735002562,0.39453263948995737
2000-06-28,label_avg,meeting,0.2,0.2978136190599784
2000-06-28,conf_weighted,meeting,0.1652279292573885,0.2978136190599784
2000-08-22,label_avg,meeting,0.0,0.34068294024066526
2000-08-22,conf_weighted,meeting,0.07053006111496873,0.34068294024066526
2000-10-03,label_avg,meeting,0.0,0.2838395263131477
2000-10-03,conf_weighted,meeting,0.2643028889494097,0.2838395263131477
2000-11-15,label_avg,meeting,-0.6,0.23651839848663023
2000-11-15,conf_weighted,meeting,-0.25543527133010174,0.23651839848663023
2000-12-19,label_avg,meeting,-0.2,0.36152308219637136
2000-12-19,conf_weighted,meeting,-0.13197310422481837,0.36152308219637136
2001-01-03,label_avg,meeting,-0.25,0.37434764523922065
2001-01-03,conf_weighted,meeting,-0.07536780878079043,0.37434764523922065
2001-01-31,label_avg,meeting,-0.3333333333333333,0.4058788682823322
2001-01-31,conf_weighted,meeting,-0.1760757398912948,0.4058788682823322
2001-03-20,label_avg,meeting,-0.3333333333333333,0.4048255124595308
2001-03-20,conf_weighted,meeting,-0.17311855260421477,0.4048255124595308
2001-04-18,label_avg,meeting,0.0,0.3609717074037817
2001-04-18,conf_weighted,meeting,-0.04958262590307918,0.3609717074037817
2001-05-15,label_avg,meeting,-0.09090909090909091,0.33383318768178244
2001-05-15,conf_weighted,meeting,-0.10875851514305403,0.33383318768178244
2001-06-27,label_avg,meeting,-0.14285714285714285,0.36575713290195583
2001-06-27,conf_weighted,meeting,-0.1345144501723462,0.36575713290195583
2001-08-21,label_avg,meeting,-0.14285714285714285,0.3668161724007007
2001-08-21,conf_weighted,meeting,-0.13490667743392243,0.3668161724007007
2001-09-17,label_avg,meeting,-0.125,0.3997673858400103
2001-09-17,conf_weighted,meeting,-0.07418643015076917,0.3997673858400103
2001-10-02,label_avg,meeting,-0.2857142857142857,0.42463967071249126
2001-10-02,conf_weighted,meeting,-0.15636556174111263,0.42463967071249126
2001-11-06,label_avg,meeting,-0.16666666666666666,0.43435970085298975
2001-11-06,conf_weighted,meeting,-0.06956057918210078,0.43435970085298975
2001-12-11,label_avg,meeting,-0.14285714285714285,0.40371446838776925
2001-12-11,conf_weighted,meeting,-0.01611808926991975,0.40371446838776925
2002-01-30,label_avg,meeting,-0.4,0.3250615276542338
2002-01-30,conf_weighted,meeting,-0.09119475758069505,0.3250615276542338
2002-03-19,label_avg,meeting,0.14285714285714285,0.4054846392529476
2002-03-19,conf_weighted,meeting,0.17240262093963651,0.4054846392529476
2002-05-07,label_avg,meeting,0.25,0.3584496273442668
2002-05-07,conf_weighted,meeting,0.2974394178056309,0.3584496273442668
2002-06-26,label_avg,meeting,0.4,0.36751056128209453
2002-06-26,conf_weighted,meeting,0.3627947380596726,0.36751056128209453
2002-08-13,label_avg,meeting,-0.25,0.4129570291105743
2002-08-13,conf_weighted,meeting,-0.13064021578089322,0.4129570291105743
2002-09-24,label_avg,meeting,0.0,0.40374955384842315
2002-09-24,conf_weighted,meeting,0.050304142668634366,0.40374955384842315
2002-11-06,label_avg,meeting,0.375,0.3714534182667492
2002-11-06,conf_weighted,meeting,0.21187321761895347,0.3714534182667492
2002-12-10,label_avg,meeting,0.5,0.3644318009830115
2002-12-10,conf_weighted,meeting,0.30008094998132784,0.3644318009830115
2003-01-29,label_avg,meeting,0.25,0.40415909201591615
2003-01-29,conf_weighted,meeting,0.18760888324047548,0.40415909201591615
2003-03-18,label_avg,meeting,-0.2857142857142857,0.33954319274068295
2003-03-18,conf_weighted,meeting,-0.11436474454789482,0.33954319274068295
2003-05-06,label_avg,meeting,0.0,0.3187339939610051
2003-05-06,conf_weighted,meeting,0.036681656330163126,0.3187339939610051
2003-06-25,label_avg,meeting,0.1,0.35449808322382015
2003-06-25,conf_weighted,meeting,0.1653764786893506,0.35449808322382015
2003-08-12,label_avg,meeting,0.125,0.2918856861343114
2003-08-12,conf_weighted,meeting,0.15781392208257414,0.2918856861343114
2003-09-16,label_avg,meeting,0.125,0.29838112487192414
2003-09-16,conf_weighted,meeting,0.14155068050414354,0.29838112487192414
2003-10-28,label_avg,meeting,0.125,0.30503467809277285
2003-10-28,conf_weighted,meeting,0.16126819112193264,0.30503467809277285
2003-12-09,label_avg,meeting,0.2857142857142857,0.36349277463154683
2003-12-09,conf_weighted,meeting,0.24491359895794892,0.36349277463154683
2004-01-28,label_avg,meeting,0.375,0.35580304165976506
2004-01-28,conf_weighted,meeting,0.31609041689697354,0.35580304165976506
2004-03-16,label_avg,meeting,0.125,0.34921490836678
2004-03-16,conf_weighted,meeting,0.16134244962627076,0.34921490836678
2004-05-04,label_avg,meeting,0.5714285714285714,0.3890591575473056
2004-05-04,conf_weighted,meeting,0.35341142827313193,0.3890591575473056
2004-06-30,label_avg,meeting,0.2222222222222222,0.39384311549241396
2004-06-30,conf_weighted,meeting,0.20307392881029837,0.39384311549241396
2004-08-10,label_avg,meeting,0.09090909090909091,0.3499623997758625
2004-08-10,conf_weighted,meeting,0.11503901480201625,0.3499623997758625
2004-09-21,label_avg,meeting,0.3333333333333333,0.39283441440048933
2004-09-21,conf_weighted,meeting,0.22473554651210767,0.39283441440048933
2004-11-10,label_avg,meeting,0.3333333333333333,0.4056871811740484
2004-11-10,conf_weighted,meeting,0.24795593173090336,0.4056871811740484
2004-12-14,label_avg,meeting,0.23076923076923078,0.4101903750033672
2004-12-14,conf_weighted,meeting,0.17332214672759477,0.4101903750033672
2005-02-02,label_avg,meeting,0.3333333333333333,0.40443400116933215
2005-02-02,conf_weighted,meeting,0.2441586866600278,0.40443400116933215
2005-03-22,label_avg,meeting,0.2,0.3510084904475623
2005-03-22,conf_weighted,meeting,0.20008616357475903,0.3510084904475623
2005-05-03,label_avg,meeting,0.18181818181818182,0.3658748327741872
2005-05-03,conf_weighted,meeting,0.14593677290516952,0.3658748327741872
2005-06-30,label_avg,meeting,0.3333333333333333,0.3878487661574235
2005-06-30,conf_weighted,meeting,0.22427657621248132,0.3878487661574235
2005-08-09,label_avg,meeting,0.3333333333333333,0.3687354974698523
2005-08-09,conf_weighted,meeting,0.20951237793629884,0.3687354974698523
2005-09-20,label_avg,meeting,0.0,0.3315410045476132
2005-09-20,conf_weighted,meeting,0.07377210787526037,0.3315410045476132
2005-11-01,label_avg,meeting,0.1111111111111111,0.36151434414085837
2005-11-01,conf_weighted,meeting,0.036065437531405946,0.36151434414085837
2005-12-13,label_avg,meeting,0.25,0.3408676364509414
2005-12-13,conf_weighted,meeting,0.1531547638544171,0.3408676364509414
2006-01-31,label_avg,meeting,0.25,0.33312662994522585
2006-01-31,conf_weighted,meeting,0.13930477581816358,0.33312662994522585
2006-03-28,label_avg,meeting,0.2222222222222222,0.3588461184375672
2006-03-28,conf_weighted,meeting,0.14988047422583237,0.3588461184375672
2006-05-10,label_avg,meeting,0.2222222222222222,0.3972892185349817
2006-05-10,conf_weighted,meeting,0.1973967471432271,0.3972892185349817
2006-06-29,label_avg,meeting,0.0,0.30061034692090294
2006-06-29,conf_weighted,meeting,-0.00501204979393252,0.30061034692090294
2006-08-08,label_avg,meeting,0.0,0.2995199634854438
2006-08-08,conf_weighted,meeting,0.01356225442579622,0.2995199634854438
2006-09-20,label_avg,meeting,0.0,0.25824471199456484
2006-09-20,conf_weighted,meeting,-0.08389559732962362,0.25824471199456484
2006-10-25,label_avg,meeting,-0.14285714285714285,0.33383728439474564
2006-10-25,conf_weighted,meeting,-0.08643411363338441,0.33383728439474564
2006-12-12,label_avg,meeting,-0.14285714285714285,0.3375345931541513
2006-12-12,conf_weighted,meeting,-0.06613697766352253,0.3375345931541513
2007-01-31,label_avg,meeting,0.14285714285714285,0.33323122223936813
2007-01-31,conf_weighted,meeting,0.16696284323844718,0.33323122223936813
2007-03-21,label_avg,meeting,-0.2857142857142857,0.30413741131585675
2007-03-21,conf_weighted,meeting,0.046981004628611184,0.30413741131585675
2007-05-09,label_avg,meeting,-0.42857142857142855,0.28651759829027357
2007-05-09,conf_weighted,meeting,-0.06768972417252868,0.28651759829027357
2007-06-28,label_avg,meeting,0.0,0.32631333259448364
2007-06-28,conf_weighted,meeting,0.18706115212628252,0.32631333259448364
2007-08-07,label_avg,meeting,-0.1111111111111111,0.3063351041562821
2007-08-07,conf_weighted,meeting,0.07363816936553956,0.3063351041562821
2007-08-10,label_avg,meeting,0.0,0.32431572491550775
2007-08-10,conf_weighted,meeting,0.10258540640869797,0.32431572491550775
2007-08-16,label_avg,meeting,-0.6666666666666666,0.3020330253484807
2007-08-16,conf_weighted,meeting,-0.428187616133656,0.3020330253484807
2007-09-18,label_avg,meeting,0.1111111111111111,0.3847769369490276
2007-09-18,conf_weighted,meeting,0.11541230411042995,0.3847769369490276
